,Date,Total Prism,Normal,Boost
347,2023-02-16,123945205.47945206,99156164.38356164,24789041.09589041
348,2023-02-17,124301369.8630137,99441095.89041096,24860273.97260274
349,2023-02-18,124657534.24657534,99726027.39726028,24931506.84931507
350,2023-02-19,125013698.63013698,100010958.9041096,25002739.7260274
351,2023-02-20,125369863.01369862,100295890.4109589,25073972.602739725
352,2023-02-21,125726027.39726028,100580821.91780822,25145205.479452055
353,2023-02-22,126082191.78082192,100865753.42465754,25216438.356164385
354,2023-02-23,126438356.16438356,101150684.93150686,25287671.232876714
355,2023-02-24,126794520.5479452,101435616.43835616,25358904.10958904
356,2023-02-25,127150684.93150684,101720547.94520548,25430136.98630137
357,2023-02-26,127506849.3150685,102005479.4520548,25501369.8630137
358,2023-02-27,127863013.69863014,102290410.95890412,25572602.73972603
359,2023-02-28,128219178.08219178,102575342.46575342,25643835.616438355
360,2023-03-01,128575342.46575342,102860273.97260274,25715068.493150685
361,2023-03-02,128931506.84931506,103145205.47945206,25786301.369863015
362,2023-03-03,129287671.2328767,103430136.98630138,25857534.246575344
363,2023-03-04,129643835.61643836,103715068.49315068,25928767.12328767
364,2023-03-05,130000000.0,104000000.0,26000000.0
